Symbol	Description
DRWW.SI	Dlc Socgen5xlong Geely
DRX.SI	St Group Food
DSAW.SI	Dlc Sg5xlong Sands
DSBW.SI	Dlc Socgen5xlong Tencent A
DSCW.SI	Dlc Socgen5xshort Galaxy
DSDW.SI	Dlc Sg5xlongsunny A
DSIW.SI	Dlc Sg5xlong Sia
DSNW.SI	Dlc Sg5xlong Sunny
DSSW.SI	Dlc Sg5xshort Sands
DSVW.SI	Dlc Sg5xshort Sunny
DSYW.SI	Dlc Socgen5xlong Petchina
DTAW.SI	Dlc Socgen5xshort Petchina
DTFW.SI	Dlc Sg5xshortdbs A
DTHW.SI	Byd 5xshortsg231214
DTJW.SI	Dlc Sg5xlongcnooc A
DTNW.SI	Dlc Socgen5xlong Galaxy
DTSW.SI	Dlc Sg5xshorttencent B
DU4.SI	Mermaid Maritime Public Co Ltd
DUBW.SI	Dlc Sg5xlonggenting A
DUFW.SI	Dlc Sg5xlong Cspc
DUZW.SI	Dlc Socgen5xlong Ocbc
DVCW.SI	Dlc Sg5xshortventure B
DVDW.SI	Jd Mb Epw210705
DVOW.SI	Dlc Socgen5xlong Hkex
DVPW.SI	Dlc Sg5xlonggeely B
DVVW.SI	Dlc Socgen5xshort Hkex
DWAW.SI	Dlc Sg5xshort Cspc
DWBW.SI	Dlc Socgen5xshort Ccb
DWNW.SI	Dlc Sg5xshortalibaba A
DWTW.SI	Dlc Sg5xshortaac B
DXAW.SI	Dlc Sg5xlong Areit
DXBW.SI	Dlc Sg5xshort Xiaomi A
DXIW.SI	Citydev 5xshortsg231214
DXLW.SI	Dlc Sg5xlong Xiaomi
DXMW.SI	Dlc Socgen5xlong Ccb
DXSW.SI	Dlc Sg5xshort Xiaomi
DXUW.SI	Dlc Socgen5xshort Yzj
DXZW.SI	Dlc Sg5xlong Alihealth
DYAW.SI	Dlc Socgen5xshort Hsbc
DYDW.SI	Dlc Sg5xshortaac A
DYKW.SI	Dlc Sg5xshortsgx A
DYMW.SI	Dlc Sg5xshort Alihealth
DYPW.SI	Jd Mb Ecw201202
DZAW.SI	Dlc Sg5xlongpetchina A
DZBW.SI	Hsi 29200mbecw210429
DZLW.SI	Dlc Socgen5xlong Hsbc
E27.SI	Eucon Holding Limited
E28.SI	Frencken Group Limited
E3B.SI	Wee Hur Holdings Ltd.
E5H.SI	Golden Agri-resources Ltd
E6R.SI	Samko Timber Limited
E8Z.SI	Roxy-pacific Holdings Limited
E90.SI	China Sky Chem Fibre Co. Ltd.
E9L.SI	Joyas International Hldgs Ltd
EASW.SI	Hsi 23800mbepw210128
EB5.SI	First Resources Limited
EB7.SI	Ktl Global Limited
EG0.SI	Jes International Holdings Ltd
EH5.SI	United Overseas Australia Ltd
ELVW.SI	Uob Mb Ecw210514
ER0.SI	Ksh Holdings Limited
ES3.SI	Sti Etf
EUEW.SI	Ocbc Bk Mb Epw210701
EYOW.SI	Dbs Mb Ecw210407
