Symbol,Security Name,Tier,Price,Change %,Vol,Sec Type,Country,State
HEINY,HEINEKEN N V S/ADR,OTCQX International Premier,54.980000,0.714400,18309,ADRs,The Netherlands,
HINKF,HEINEKEN N V REG,OTCQX International Premier,108.850000,-0.137600,1827,Foreign Ordinary Shares,The Netherlands,
RDSMY,ROYAL DSM NV S/ADR,OTCQX International Premier,42.282500,1.033500,39023,ADRs,The Netherlands,
AKZOF,AKZO NOBEL NV ORD NEW,OTCQX International Premier,106.073352,0.543500,25000,Foreign Ordinary Shares,The Netherlands,
AKZOY,AKZO NOBEL N V S/ADR,OTCQX International Premier,35.562500,1.810800,26255,ADRs,The Netherlands,
ASMIY,ASM INTL NV NY REG SHS,OTCQX International Premier,201.040000,,67,ETFs,The Netherlands,
HKHHF,HEINEKEN HOLDING NV ORD,OTCQX International Premier,95.102100,0.583900,2521,Foreign Ordinary Shares,The Netherlands,
HKHHY,HEINEKEN HOLDING NV S/ADR,OTCQX International Premier,47.880000,0.125500,1013,ADRs,The Netherlands,
TKGBF,TURKIYE GARANTI BK,OTCQX International Premier,1.160000,,0,Foreign Ordinary Shares,Turkey,
TKGBY,TURKIYE GARANTI BNK S/ADR,OTCQX International Premier,1.310000,6.504100,55265,ADRs,Turkey,
